TRUE,30021,2000,Garavan H,Microscopy Research and Technique,1,VSWM vs. CTL,Cognition.Memory.Working,17
TRUE,30044,2003,Maddock R J,Human Brain Mapping,1,Unpleasant vs. Neutral Words,Emotion.Other,28
FALSE,30044,2003,Maddock R J,Human Brain Mapping,2,Pleasant vs. Neutral Words,Emotion.Other,16
FALSE,30055,2001,Rao S M,Nature Neuroscience,1,Time-2.5 > Control,Perception.Audition,4
FALSE,30055,2001,Rao S M,Nature Neuroscience,2,Time-5.0 > Control,Perception.Audition,14
TRUE,30055,2001,Rao S M,Nature Neuroscience,3,Time-7.5 > Control,Perception.Audition,18
FALSE,30055,2001,Rao S M,Nature Neuroscience,4,Time-10.0 > Control,Perception.Audition,20
FALSE,30055,2001,Rao S M,Nature Neuroscience,5,Pitch-5.0 > Control,Perception.Audition,2
FALSE,30055,2001,Rao S M,Nature Neuroscience,6,Pitch-7.5 > Control,Perception.Audition,7
FALSE,30055,2001,Rao S M,Nature Neuroscience,7,Pitch-10.0 > Control,Perception.Audition,5
TRUE,30097,2002,Pessoa L,Neuron,1,Working Memory vs. Fixation,Cognition.Memory.Working,19
TRUE,30132,1991,Frith C D,Proceedings of the Royal Society of London. Series B. Biological Sciences,1,"Fixed Words, Generate - Random Words, Repeat",Cognition.Language.Speech,2
FALSE,30132,1991,Frith C D,Proceedings of the Royal Society of London. Series B. Biological Sciences,2,"Random Words, Repeat - Fixed Words, Generate",Cognition.Language.Speech,3
FALSE,30133,2002,Gandour J,Journal of Cognitive Neuroscience,1,"Pitch, Pseudowords - Pitch, Hums, Thai subjects",Cognition.Language.Speech,1
FALSE,30133,2002,Gandour J,Journal of Cognitive Neuroscience,2,"Pitch, Pseudowords - Pitch, Hums, Chinese subjects",Cognition.Language.Speech,1
TRUE,30133,2002,Gandour J,Journal of Cognitive Neuroscience,3,"Duration, Pseudowords - Duration, Hums, Thai subjects",Cognition.Language.Speech,5
FALSE,30133,2002,Gandour J,Journal of Cognitive Neuroscience,4,"Duration, Pseudowords - Duration, Hums, Chinese subjects",Cognition.Language.Speech,2
FALSE,30133,2002,Gandour J,Journal of Cognitive Neuroscience,5,"Pitch, Hums - Passive Listening, Thai subjects",Perception.Audition,3
FALSE,30133,2002,Gandour J,Journal of Cognitive Neuroscience,6,"Pitch, Hums - Passive Listening, Chinese subjects",Perception.Audition,5
FALSE,30133,2002,Gandour J,Journal of Cognitive Neuroscience,7,"Duration, Hums - Passive Listening, Thai subjects",Perception.Audition,5
FALSE,30133,2002,Gandour J,Journal of Cognitive Neuroscience,8,"Duration, Hums - Passive Listening, Chinese subjects",Perception.Audition,5
FALSE,30133,2002,Gandour J,Journal of Cognitive Neuroscience,9,"Pitch, Pseudowords - Pitch, Hums, Thai and Chinese subjects",Cognition.Language.Speech,3
FALSE,30133,2002,Gandour J,Journal of Cognitive Neuroscience,10,"Duration, Pseudowords - Duration, Hums, Thai and Chinese subjects",Cognition.Language.Speech,3
FALSE,30155,2002,Meyer M E,Human Brain Mapping,1,Normal Speech > Syntactic Speech,Cognition.Language.Syntax,2
FALSE,30155,2002,Meyer M E,Human Brain Mapping,2,Syntactic Speech > Normal Speech,Cognition.Language.Syntax,6
FALSE,30155,2002,Meyer M E,Human Brain Mapping,3,Normal Speech > Prosodic Speech,Cognition.Language.Semantics,6
FALSE,30155,2002,Meyer M E,Human Brain Mapping,4,Prosodic Speech > Normal Speech,Cognition.Language.Semantics,8
TRUE,30155,2002,Meyer M E,Human Brain Mapping,5,Syntactic Speech > Prosodic Speech,"Cognition.Language.Semantics,Cognition.Language.Syntax",7
FALSE,30155,2002,Meyer M E,Human Brain Mapping,6,Prosodic Speech > Syntactic Speech,"Cognition.Language.Syntax,Cognition.Language.Semantics",6
FALSE,30164,1999,Poldrack R A,NeuroImage,1,Semantic > Case,Cognition.Language.Semantics,19
FALSE,30164,1999,Poldrack R A,NeuroImage,2,Case > Semantic,Cognition.Language.Orthography,3
TRUE,30164,1999,Poldrack R A,NeuroImage,3,Phonological > Case,Cognition.Language.Phonology,7
FALSE,30164,1999,Poldrack R A,NeuroImage,4,Case > Phonological,Cognition.Language.Orthography,6
FALSE,30164,1999,Poldrack R A,NeuroImage,5,Semantic > Phonological,Cognition.Language.Semantics,6
FALSE,30164,1999,Poldrack R A,NeuroImage,6,Phonological > Semantic,Cognition.Language.Phonology,12
FALSE,30164,1999,Poldrack R A,NeuroImage,7,Pseudoword Phonological > Case,Cognition.Language.Phonology,14
FALSE,30164,1999,Poldrack R A,NeuroImage,8,Case > Pseudoword Phonological,Cognition.Language.Orthography,8
FALSE,30164,1999,Poldrack R A,NeuroImage,9,Semantic > Phonological (Double Subtraction),Cognition.Language.Semantics,16
FALSE,30164,1999,Poldrack R A,NeuroImage,10,Phonological > Semantic (Double Subtraction),Cognition.Language.Phonology,3
FALSE,30164,1999,Poldrack R A,NeuroImage,11,Semantic > Pseudoword Phonological (Double Subtraction),Cognition.Language.Semantics,18
FALSE,30164,1999,Poldrack R A,NeuroImage,12,Pseudoword Phonological > Semantic (Double Subtraction),Cognition.Language.Phonology,10
TRUE,30177,2000,Sobel N,Journal of Neurophysiology,1,Odorant vs. No-Odorant,Perception.Olfaction,32
FALSE,30183,1997,Vandenberghe R,Journal of Neuroscience,1,Peripheral Single Discrimination,Perception.Vision,5
TRUE,30183,1997,Vandenberghe R,Journal of Neuroscience,2,Left - Right,Perception.Vision,8
FALSE,30183,1997,Vandenberghe R,Journal of Neuroscience,3,Right - Left,Perception.Vision,1
FALSE,30183,1997,Vandenberghe R,Journal of Neuroscience,4,Number of Attributes Attended,Perception.Vision,6
FALSE,30213,2001,Tan L H,NeuroImage,1,Semantic Relatedness Judgment vs. Crosshair Fixation,Cognition.Language.Semantics,36
TRUE,30213,2001,Tan L H,NeuroImage,2,Homophone Decision vs. Crosshair Fixation,Cognition.Language.Phonology,38
TRUE,30216,2001,Tan L H,Neuroreport,1,Regular Characters vs. Fixation,"Cognition.Language.Speech,Action.Execution.Speech",37
FALSE,30216,2001,Tan L H,Neuroreport,2,Irregular Characters vs. Fixation,"Cognition.Language.Speech,Action.Execution.Speech",51
TRUE,30249,1993,Petrides M,Proceedings of the National Academy of Sciences,1,Self-Ordered - Counting,Cognition.Other,11
FALSE,30249,1993,Petrides M,Proceedings of the National Academy of Sciences,2,Externally-Ordered - Counting,Cognition.Other,12
FALSE,30249,1993,Petrides M,Proceedings of the National Academy of Sciences,3,Self-Ordered - Externally-Ordered,Cognition.Other,8
FALSE,30249,1993,Petrides M,Proceedings of the National Academy of Sciences,4,Externally-Ordered - Self-Ordered,Cognition.Other,5
TRUE,30329,2003,Milham M P,NeuroImage,1,Within-Region Analysis: Interference vs. Control,Cognition.Attention,28
FALSE,30329,2003,Milham M P,NeuroImage,2,Region-Based Analysis: Interference vs. Control,Cognition.Attention,17
TRUE,30346,1999,Crosson B,Neuroreport,1,Emotionally Evocative Words - Repetition,"Emotion.Other,Cognition.Language.Semantics,Cognition.Language.Speech",12
FALSE,30346,1999,Crosson B,Neuroreport,2,Repetition - Emotionally Evocative Words,"Emotion.Other,Cognition.Language.Semantics,Cognition.Language.Speech",1
FALSE,30346,1999,Crosson B,Neuroreport,3,Emotionally Neutral words - Repetition,"Cognition.Language.Semantics,Cognition.Language.Speech",7
FALSE,30346,1999,Crosson B,Neuroreport,4,Repetition - Emotionally Neutral Words,"Cognition.Language.Semantics,Cognition.Language.Speech",1
TRUE,30347,2003,Devlin J T,Journal of Cognitive Neuroscience,1,Semantic + Phonological - Rest,"Cognition.Language.Phonology,Cognition.Language.Semantics",26
FALSE,30347,2003,Devlin J T,Journal of Cognitive Neuroscience,2,Semantic > Phonological,Cognition.Language.Semantics,5
FALSE,30347,2003,Devlin J T,Journal of Cognitive Neuroscience,3,Phonological > Semantic,Cognition.Language.Phonology,34
FALSE,30361,2002,Staudt M,NeuroImage,1,Organization of Language in the RH of Patients,Cognition.Language.Speech,9
TRUE,30361,2002,Staudt M,NeuroImage,2,Organization of Language in the LH of Controls,Cognition.Language.Speech,13
